protein,gene_id,human_orth_id,human_pident,human_evalue,human_score,dog_orth_id,dog_pident,dog_evalue,dog_score,pig_orth_id,pig_pident,pig_evalue,pig_score,ferret_orth_id,ferret_pident,ferret_evalue,ferret_score
XP_012919487.1,CD37,,,,,,,,,,,,,ENSMPUP00000002682,100,1.61e-150,427
XP_012919489.1,ZNF229,,,,,,,,,,,,,ENSMPUP00000006399,100,0.0,910
XP_012919490.1,ZNF229,,,,,,,,,,,,,ENSMPUP00000006399,100,0.0,910
XP_012919491.1,ZNF180,,,,,,,,,,,,,ENSMPUP00000006390,100,2.65e-236,677
XP_012919492.1,ZNF180,,,,,,,,,,,,,ENSMPUP00000006390,100,2.65e-236,677
XP_012919493.1,ZNF285,,,,,,,,,,,,,ENSMPUP00000006408,100,1.04e-205,597
XP_012919494.1,VRK3,,,,,,,,,,,,,ENSMPUP00000002265,100,3.84e-315,860
XP_012919496.1,LIG1,,,,,,,,,,,,,ENSMPUP00000004276,100,0.0,1673
XP_012919497.1,FCGRT,,,,,,,,,,,,,ENSMPUP00000002567,100,1.17e-272,744
XP_012919499.1,FCGRT,,,,,,,,,,,,,ENSMPUP00000002567,100,1.17e-272,744
XP_012919500.1,FCGRT,,,,,,,,,,,,,ENSMPUP00000002567,100,1.17e-272,744
XP_012919505.1,ZNF175,,,,,,,,,,,,,ENSMPUP00000001347,100,8.29e-238,683
XP_012919506.1,ZNF175,,,,,,,,,,,,,ENSMPUP00000001347,89.5,1.50e-202,592
XP_012919507.1,ZNF175,,,,,,,,,,,,,ENSMPUP00000001347,100,1.58e-144,440
XP_012919520.1,BCLAF1,,,,,,,,,ENSSSCP00000004499,98.0,0.0,1309,ENSMPUP00000014720,100,0.0,1332
XP_012919523.1,BCLAF1,,,,,,,,,ENSSSCP00000004499,92.1,0.0,1188,ENSMPUP00000014720,94.1,0.0,1211
XP_012919524.1,VSIG10L,,,,,,,,,,,,,ENSMPUP00000001408,88.0,0.0,1361
XP_012919525.1,CBLC,,,,,,,,,,,,,ENSMPUP00000006254,98.1,0.0,938
XP_012919526.1,BCLAF1,,,,,,,,,ENSSSCP00000004499,92.1,0.0,1188,ENSMPUP00000014720,94.1,0.0,1211
XP_012919527.1,CBLC,,,,,,,,,,,,,ENSMPUP00000006254,100,0.0,1014
XP_012919529.1,CBLC,,,,,,,,,,,,,ENSMPUP00000006254,87.6,3.72e-295,813
XP_012919530.1,CCDC61,,,,,,,,,,,,,ENSMPUP00000005389,100,2.45e-295,815
XP_012919531.1,CCDC61,,,,,,,,,,,,,ENSMPUP00000005389,100,2.45e-295,815
XP_012919534.1,CPT1C,,,,,,,,,,,,,ENSMPUP00000002372,95.5,0.0,1537
XP_012919535.1,PRMT1,ENSP00000406162,100,1.83e-255,701,ENSCAFP00000005344,100,1.83e-255,701,ENSSSCP00000003461,98.0,2.86e-253,694,ENSMPUP00000002374,99.1,2.79e-253,695
XP_012919536.1,PRMT1,ENSP00000406162,100,4.28e-255,699,ENSCAFP00000005344,100,4.28e-255,699,ENSSSCP00000003461,98.5,1.35e-252,692,ENSMPUP00000002374,99.1,6.52e-253,694
XP_012919538.2,LOC101672382,,,,,,,,,,,,,ENSMPUP00000006953,100,9.72e-241,675
XP_012919541.2,LOC101672667,,,,,,,,,,,,,ENSMPUP00000006953,54.3,3.80e-127,379
XP_012919544.1,DHX34,,,,,ENSCAFP00000006196,91.3,0.0,2033,,,,,ENSMPUP00000004885,99.7,0.0,2038
XP_012919545.1,DHX34,,,,,ENSCAFP00000006196,90.9,0.0,2016,,,,,ENSMPUP00000004885,99.2,0.0,2021
XP_012919546.1,DHX34,,,,,ENSCAFP00000006196,91.3,0.0,2032,,,,,ENSMPUP00000004885,99.7,0.0,2038
XP_012919547.1,NPAS1,,,,,,,,,,,,,ENSMPUP00000005082,100,0.0,1109
XP_012919553.1,FOSB,,,,,,,,,,,,,ENSMPUP00000005864,88.5,1.98e-172,487
XP_012919558.1,MAP7,,,,,,,,,,,,,ENSMPUP00000014721,93.2,0.0,1075
XP_012919561.1,RUVBL2,ENSP00000473172,99.5,8.65e-286,784,ENSCAFP00000032477,99.8,3.02e-286,785,ENSSSCP00000003416,99.8,3.02e-286,785,ENSMPUP00000003242,100,3.68e-287,788
XP_012919564.1,MAP7,,,,,,,,,,,,,ENSMPUP00000014721,98.6,0.0,998
XP_012919566.1,PHLDB3,,,,,,,,,,,,,ENSMPUP00000006850,100,0.0,1257
XP_012919567.1,PHLDB3,,,,,,,,,,,,,ENSMPUP00000006850,100,0.0,1056
XP_012919568.1,LOC101678525,,,,,,,,,,,,,ENSMPUP00000001353,98.6,0.0,1207
XP_012919569.1,LOC101678525,,,,,,,,,,,,,ENSMPUP00000001353,98.6,0.0,1207
XP_012919570.1,LOC101678525,,,,,,,,,,,,,ENSMPUP00000001353,98.3,0.0,1199
XP_012919572.1,LOC101680639,,,,,,,,,,,,,ENSMPUP00000001350,94.8,1.93e-231,637
XP_012919573.1,ETHE1,,,,,ENSCAFP00000007091,83.1,7.14e-147,416,,,,,ENSMPUP00000006810,84.6,6.39e-150,423
XP_012919574.2,ODAD1,,,,,,,,,,,,,ENSMPUP00000004145,94.4,0.0,1113
XP_012919576.1,LOC101684861,,,,,,,,,,,,,ENSMPUP00000001445,85.4,2.08e-219,610
XP_012919577.1,LOC101684861,,,,,,,,,,,,,ENSMPUP00000001445,90.6,1.91e-161,462
XP_012919578.1,ACP4,,,,,,,,,,,,,ENSMPUP00000001593,100,1.00e-291,795
XP_012919580.1,LOC101681965,,,,,,,,,,,,,ENSMPUP00000004168,70.4,1.33e-266,746
XP_012919581.1,LOC101692196,,,,,,,,,,,,,ENSMPUP00000004168,75.0,3.80e-279,776
XP_012919583.1,LOC101686805,,,,,,,,,,,,,ENSMPUP00000001462,97.0,0.0,907
XP_012919584.1,LOC101686805,,,,,,,,,,,,,ENSMPUP00000001462,93.3,8.92e-317,865
XP_012919585.1,LOC101686805,,,,,,,,,,,,,ENSMPUP00000001462,99.7,1.23e-289,794
XP_012919586.1,LOC101686805,,,,,,,,,,,,,ENSMPUP00000001462,99.7,1.05e-289,794
XP_012919591.1,ZNF473,,,,,,,,,,,,,ENSMPUP00000002264,100,3.87e-165,512
XP_012919593.1,ZNF114,,,,,,,,,,,,,ENSMPUP00000004160,100,1.59e-205,576
XP_012919594.1,ZNF114,,,,,,,,,,,,,ENSMPUP00000004160,100,1.59e-205,576
XP_012919595.1,ZNF114,,,,,,,,,,,,,ENSMPUP00000004160,100,1.59e-205,576
XP_012919597.1,ZNF114,,,,,,,,,,,,,ENSMPUP00000004160,100,1.59e-205,576
XP_012919598.1,TULP2,,,,,,,,,,,,,ENSMPUP00000003430,92.9,0.0,972
XP_012919601.1,LOC101681477,,,,,,,,,,,,,ENSMPUP00000004168,100,0.0,1091
XP_012919602.1,LOC101681477,,,,,,,,,,,,,ENSMPUP00000004168,100,0.0,1091
XP_012919604.2,TNFAIP3,,,,,ENSCAFP00000000383,96.2,0.0,1496,,,,,ENSMPUP00000014758,100,0.0,1538
XP_012919611.1,KASH5,,,,,,,,,,,,,ENSMPUP00000002643,93.0,0.0,936
XP_012919612.1,KASH5,,,,,,,,,,,,,ENSMPUP00000002643,92.8,0.0,934
XP_012919613.1,KASH5,,,,,,,,,,,,,ENSMPUP00000002643,92.0,0.0,924
XP_012919614.1,KASH5,,,,,,,,,,,,,ENSMPUP00000002643,93.2,0.0,944
XP_012919627.1,C1GALT1,,,,,,,,,,,,,ENSMPUP00000001482,100,2.35e-276,754
XP_012919630.1,SLC25A13,ENSP00000400101,96.1,0.0,1085,ENSCAFP00000003177,97.9,0.0,1098,,,,,ENSMPUP00000001520,99.8,0.0,1114
XP_012919632.2,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,100,0.0,1002
XP_012919633.2,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,99.8,0.0,996
XP_012919634.2,ICA1,,,,,ENSCAFP00000003284,90.6,0.0,900,,,,,ENSMPUP00000001397,94.1,0.0,927
XP_012919635.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,100,0.0,1002
XP_012919636.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,100,0.0,1002
XP_012919637.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,100,0.0,1002
XP_012919639.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,99.8,0.0,996
XP_012919640.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,99.8,0.0,996
XP_012919642.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,99.8,0.0,996
XP_012919643.1,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,99.8,0.0,996
XP_012919644.2,ICA1,,,,,,,,,,,,,ENSMPUP00000001397,93.9,0.0,922
XP_012919645.2,DYNC1I1,ENSP00000320130,96.0,0.0,1184,ENSCAFP00000003142,99.4,0.0,1204,,,,,ENSMPUP00000001532,99.7,0.0,1207
XP_012919646.1,NHSL1,,,,,,,,,,,,,ENSMPUP00000014775,100,0.0,2661
XP_012919647.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919648.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919649.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919650.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919651.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919653.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919654.1,MIOS,ENSP00000339881,99.1,0.0,1795,ENSCAFP00000003259,99.7,0.0,1803,,,,,ENSMPUP00000001426,99.3,0.0,1795
XP_012919655.1,SEM1,,,,,,,,,ENSSSCP00000016264,100,1.42e-43,141,,,,
XP_012919656.1,CCDC28A,ENSP00000479060,97.8,3.96e-115,335,ENSCAFP00000000395,97.3,7.93e-115,334,ENSSSCP00000004481,97.8,1.72e-116,335,ENSMPUP00000014778,100,2.52e-118,343
XP_012919660.1,ECT2L,,,,,,,,,,,,,ENSMPUP00000014791,87.6,0.0,1619
XP_012919662.1,SMG7,,,,,ENSCAFP00000019592,98.5,0.0,2223,,,,,,,,
XP_012919663.1,SMG7,,,,,ENSCAFP00000019592,96.0,0.0,2109,,,,,ENSMPUP00000011638,97.2,0.0,2092
XP_012919664.1,SMG7,,,,,ENSCAFP00000019592,91.9,0.0,2009,,,,,ENSMPUP00000011638,93.0,0.0,1991
XP_012919667.1,LAMC2,,,,,,,,,,,,,ENSMPUP00000011490,99.3,0.0,2234
XP_012919668.1,NMNAT2,ENSP00000287713,99.0,1.18e-225,621,ENSCAFP00000038683,99.3,4.12e-226,622,,,,,,,,
XP_012919669.1,TPR,,,,,,,,,,,,,ENSMPUP00000011959,100,0.0,3466
XP_012919671.1,CEP350,,,,,,,,,,,,,ENSMPUP00000011279,98.7,0.0,5594
XP_012919672.1,TOR1AIP1,,,,,,,,,,,,,ENSMPUP00000011268,100,0.0,1163
XP_012919673.1,TOR1AIP1,,,,,,,,,,,,,ENSMPUP00000011268,98.2,0.0,1131
XP_012919674.1,TOR1AIP1,,,,,,,,,,,,,ENSMPUP00000011268,97.4,0.0,1122
XP_012919675.1,LOC101671379,,,,,,,,,,,,,ENSMPUP00000011265,100,4.79e-307,840
XP_012919677.1,RGL1,,,,,ENSCAFP00000019759,94.5,0.0,1270,,,,,ENSMPUP00000011671,100,0.0,1290
XP_012919681.1,HMCN1,,,,,,,,,,,,,ENSMPUP00000011849,100.0,0.0,9586
XP_012919682.1,DHX9,ENSP00000356520,97.1,0.0,1840,ENSCAFP00000019476,99.0,0.0,1878,,,,,ENSMPUP00000011453,99.9,0.0,1874
XP_012919683.2,ABRACL,ENSP00000356632,98.8,2.52e-51,162,ENSCAFP00000000400,97.5,4.19e-50,159,ENSSSCP00000004478,97.5,3.58e-51,161,ENSMPUP00000014795,100,1.50e-50,160
XP_012919684.1,GLUL,,,,,,,,,,,,,ENSMPUP00000011419,97.8,1.20e-315,857
XP_012919692.2,KIAA1614,,,,,,,,,,,,,ENSMPUP00000011382,100,0.0,2330
XP_012919697.1,RGS8,ENSP00000258302,99.4,1.76e-122,350,ENSCAFP00000043209,100,5.72e-123,351,,,,,,,,
XP_012919710.1,AZIN2,,,,,,,,,,,,,ENSMPUP00000014982,100,0.0,927
XP_012919713.1,AZIN2,,,,,,,,,,,,,ENSMPUP00000014982,100,0.0,927
XP_012919714.1,AZIN2,,,,,,,,,,,,,ENSMPUP00000014982,100,0.0,927
XP_012919720.1,LOC101672081,,,,,,,,,ENSSSCP00000027938,89.5,5.45e-210,582,,,,
XP_012919721.1,LOC101677628,,,,,ENSCAFP00000018140,86.0,1.23e-178,503,,,,,,,,
XP_012919728.1,ATG16L2,,,,,,,,,,,,,ENSMPUP00000009703,82.6,0.0,923
XP_012919737.1,RNF121,ENSP00000354571,99.3,3.82e-226,623,ENSCAFP00000037011,99.0,3.80e-224,618,ENSSSCP00000015719,98.4,3.05e-223,615,ENSMPUP00000010281,100,9.37e-227,624
XP_012919738.1,RNF121,ENSP00000354571,99.3,3.82e-226,623,ENSCAFP00000037011,99.0,3.80e-224,618,ENSSSCP00000015719,98.4,3.05e-223,615,ENSMPUP00000010281,100,9.37e-227,624
XP_012919739.1,RNF121,ENSP00000354571,98.6,1.90e-144,413,,,,,,,,,ENSMPUP00000010281,98.6,1.90e-144,413
XP_012919740.1,ANAPC15,ENSP00000439403,98.4,2.01e-57,181,,,,,,,,,,,,
XP_012919741.1,ANAPC15,,,,,ENSCAFP00000008648,100,2.91e-55,175,ENSSSCP00000015725,100,3.88e-55,175,ENSMPUP00000010185,100,2.91e-55,175
XP_012919743.2,LOC101693714,,,,,,,,,,,,,ENSMPUP00000010263,99.5,4.22e-136,385
XP_012919744.2,LOC101693714,,,,,,,,,,,,,ENSMPUP00000010263,99.5,4.22e-136,385
XP_012919747.1,LOC101671174,,,,,,,,,,,,,ENSMPUP00000019447,100,4.55e-220,608
XP_012919748.1,LOC101680742,,,,,ENSCAFP00000018440,95.5,2.24e-196,547,,,,,,,,
XP_012919749.1,UVRAG,,,,,,,,,,,,,ENSMPUP00000008738,100,0.0,1301
XP_012919750.1,UVRAG,,,,,,,,,,,,,ENSMPUP00000008738,100,0.0,1177
XP_012919751.1,C2CD3,,,,,,,,,,,,,ENSMPUP00000009347,98.2,0.0,4506
XP_012919752.1,C2CD3,,,,,,,,,,,,,ENSMPUP00000009347,98.2,0.0,4511
XP_012919753.1,C2CD3,,,,,,,,,,,,,ENSMPUP00000009347,98.3,0.0,4537
XP_012919754.1,C2CD3,,,,,,,,,,,,,ENSMPUP00000009347,97.6,0.0,4464
XP_012919755.1,C2CD3,,,,,,,,,,,,,ENSMPUP00000009347,98.0,0.0,3892
XP_012919756.1,C2CD3,,,,,,,,,,,,,ENSMPUP00000009347,98.0,0.0,3892
XP_012919757.1,PPME1,,,,,,,,,ENSSSCP00000024351,98.9,3.04e-245,675,ENSMPUP00000009273,99.4,2.12e-246,679
XP_012919758.1,PPME1,ENSP00000381461,94.0,6.69e-225,624,,,,,ENSSSCP00000024351,99.4,3.28e-230,635,ENSMPUP00000009273,100,2.27e-231,640
XP_012919770.1,PLEKHB1,,,,,,,,,,,,,ENSMPUP00000009654,87.2,8.59e-170,475
XP_012919771.1,PLEKHB1,,,,,,,,,,,,,ENSMPUP00000009654,100,8.04e-169,472
XP_012919773.1,CHRDL2,,,,,,,,,,,,,ENSMPUP00000009217,100,0.0,915
XP_012919775.1,CHRDL2,,,,,,,,,,,,,ENSMPUP00000009217,100,1.73e-293,801
XP_012919776.1,ARRB1,ENSP00000409581,99.0,1.06e-300,821,ENSCAFP00000008081,99.3,1.24e-299,818,ENSSSCP00000015771,98.5,2.40e-298,815,ENSMPUP00000009136,98.5,2.38e-292,802
XP_012919778.1,ARRB1,ENSP00000409581,99.3,2.47e-299,817,ENSCAFP00000008081,99.5,4.27e-300,819,ENSSSCP00000015771,98.8,8.31e-299,816,ENSMPUP00000009136,98.1,1.66e-292,802
XP_012919779.1,ARRB1,ENSP00000409581,99.3,2.47e-299,817,ENSCAFP00000008081,99.5,4.27e-300,819,ENSSSCP00000015771,98.8,8.31e-299,816,ENSMPUP00000009136,98.1,1.66e-292,802
XP_012919780.1,ARRB1,ENSP00000409581,99.3,2.47e-299,817,ENSCAFP00000008081,99.5,4.27e-300,819,ENSSSCP00000015771,98.8,8.31e-299,816,ENSMPUP00000009136,98.1,1.66e-292,802
XP_012919781.1,PGM2L1,ENSP00000298198,96.3,0.0,1125,ENSCAFP00000008246,97.4,0.0,1133,ENSSSCP00000015757,96.0,0.0,1118,,,,
XP_012919784.1,KCNE3,,,,,,,,,,,,,ENSMPUP00000019405,100,2.52e-66,201
XP_012919785.1,KCNE3,,,,,,,,,,,,,ENSMPUP00000019405,100,2.52e-66,201
XP_012919788.2,GDPD5,,,,,,,,,,,,,ENSMPUP00000008993,99.8,0.0,1218
XP_012919789.2,GDPD5,,,,,,,,,,,,,ENSMPUP00000008993,99.8,0.0,1218
XP_012919790.2,GDPD5,,,,,,,,,,,,,ENSMPUP00000008993,99.8,0.0,1218
XP_012919791.1,RAB6A,ENSP00000311449,98.1,3.17e-142,402,ENSCAFP00000038367,98.1,1.83e-141,400,ENSSSCP00000015747,98.6,7.78e-143,403,ENSMPUP00000009648,100,2.32e-144,407
XP_012919792.1,RAB6A,ENSP00000311449,98.3,4.11e-118,339,ENSCAFP00000038367,97.7,9.67e-117,336,ENSSSCP00000015747,98.3,4.11e-118,339,ENSMPUP00000009648,100,1.23e-119,343
XP_012919793.2,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,100,0.0,1230
XP_012919794.2,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,100,0.0,1230
XP_012919795.2,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,93.8,0.0,1134
XP_012919796.2,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,93.4,0.0,1128
XP_012919797.1,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,100,0.0,1615
XP_012919798.1,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,100,0.0,1615
XP_012919800.2,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,82.3,0.0,966
XP_012919802.1,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,72.5,0.0,1026
XP_012919804.1,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,100,0.0,1230
XP_012919805.1,XRRA1,,,,,,,,,,,,,ENSMPUP00000009190,100,0.0,1230
XP_012919806.1,CLPB,ENSP00000294053,98.1,0.0,904,ENSCAFP00000008559,98.3,0.0,904,,,,,ENSMPUP00000010096,99.6,0.0,919
XP_012919808.1,EMSY,,,,,ENSCAFP00000007876,92.5,0.0,1976,,,,,ENSMPUP00000008695,94.8,0.0,2019
XP_012919809.1,EMSY,,,,,ENSCAFP00000007876,95.6,0.0,2033,,,,,ENSMPUP00000008695,97.8,0.0,2076
XP_012919810.1,EMSY,,,,,ENSCAFP00000007876,82.6,0.0,1687,,,,,ENSMPUP00000008695,84.8,0.0,1730
XP_012919811.2,INPPL1,,,,,,,,,,,,,ENSMPUP00000010124,99.9,0.0,1701
XP_012919812.1,LOC101687385,,,,,,,,,,,,,ENSMPUP00000010153,100,3.59e-198,547
XP_012919813.1,LOC101687385,,,,,,,,,,,,,ENSMPUP00000010153,100,3.59e-198,547
XP_012919814.1,LOC101687385,,,,,,,,,,,,,ENSMPUP00000010153,100,3.59e-198,547
XP_012919815.1,LOC101687385,,,,,,,,,,,,,ENSMPUP00000010153,100,3.59e-198,547
XP_012919816.2,LOC101688243,,,,,,,,,,,,,ENSMPUP00000010148,98.8,2.34e-198,547
XP_012919824.1,SLCO2B1,,,,,,,,,,,,,ENSMPUP00000009158,100,0.0,1051
XP_012919825.1,LRRC32,,,,,,,,,,,,,ENSMPUP00000008691,100,0.0,1147
XP_012919826.1,LRRC32,,,,,,,,,,,,,ENSMPUP00000008691,100,0.0,1147
XP_012919838.1,ART1,,,,,,,,,,,,,ENSMPUP00000010309,100,1.07e-239,657
XP_012919840.1,ART5,,,,,,,,,,,,,ENSMPUP00000010303,99.6,6.24e-201,560
XP_012919841.1,ART5,,,,,,,,,,,,,ENSMPUP00000010303,100,4.91e-200,557
XP_012919846.1,LOC101679526,,,,,,,,,,,,,ENSMPUP00000019434,100,7.41e-225,620
XP_012919847.1,LOC101679526,,,,,,,,,,,,,ENSMPUP00000019434,100,7.41e-225,620
XP_012919853.2,ARSH,,,,,,,,,,,,,ENSMPUP00000001102,98.8,0.0,1175
XP_012919869.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,8.36e-17,90.1
XP_012919870.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,8.36e-17,90.1
XP_012919871.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,8.36e-17,90.1
XP_012919872.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919873.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919874.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919875.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919877.1,PLCXD1,,,,,,,,,,,,,ENSMPUP00000001528,100,6.62e-17,90.1
