protein,gene_id,orth_id,pident,evalue,score
XP_012919538.2,LOC101672382,ENSMPUP00000006953,100,9.72e-241,675
XP_012919541.2,LOC101672667,ENSMPUP00000006953,54.3,3.80e-127,379
XP_012919544.1,DHX34,ENSMPUP00000004885,99.7,0.0,2038
XP_012919545.1,DHX34,ENSMPUP00000004885,99.2,0.0,2021
XP_012919546.1,DHX34,ENSMPUP00000004885,99.7,0.0,2038
XP_012919547.1,NPAS1,ENSMPUP00000005082,100,0.0,1109
XP_012919553.1,FOSB,ENSMPUP00000005864,88.5,1.98e-172,487
XP_012919558.1,MAP7,ENSMPUP00000014721,93.2,0.0,1075
XP_012919561.1,RUVBL2,ENSMPUP00000003242,100,3.68e-287,788
XP_012919564.1,MAP7,ENSMPUP00000014721,98.6,0.0,998
XP_012919566.1,PHLDB3,ENSMPUP00000006850,100,0.0,1257
XP_012919567.1,PHLDB3,ENSMPUP00000006850,100,0.0,1056
XP_012919568.1,LOC101678525,ENSMPUP00000001353,98.6,0.0,1207
XP_012919569.1,LOC101678525,ENSMPUP00000001353,98.6,0.0,1207
XP_012919570.1,LOC101678525,ENSMPUP00000001353,98.3,0.0,1199
XP_012919572.1,LOC101680639,ENSMPUP00000001350,94.8,1.93e-231,637
XP_012919573.1,ETHE1,ENSMPUP00000006810,84.6,6.39e-150,423
XP_012919574.2,ODAD1,ENSMPUP00000004145,94.4,0.0,1113
XP_012919576.1,LOC101684861,ENSMPUP00000001445,85.4,2.08e-219,610
XP_012919577.1,LOC101684861,ENSMPUP00000001445,90.6,1.91e-161,462
XP_012919578.1,ACP4,ENSMPUP00000001593,100,1.00e-291,795
XP_012919580.1,LOC101681965,ENSMPUP00000004168,70.4,1.33e-266,746
XP_012919581.1,LOC101692196,ENSMPUP00000004168,75.0,3.80e-279,776
XP_012919583.1,LOC101686805,ENSMPUP00000001462,97.0,0.0,907
XP_012919584.1,LOC101686805,ENSMPUP00000001462,93.3,8.92e-317,865
XP_012919585.1,LOC101686805,ENSMPUP00000001462,99.7,1.23e-289,794
XP_012919586.1,LOC101686805,ENSMPUP00000001462,99.7,1.05e-289,794
XP_012919591.1,ZNF473,ENSMPUP00000002264,100,3.87e-165,512
XP_012919593.1,ZNF114,ENSMPUP00000004160,100,1.59e-205,576
XP_012919594.1,ZNF114,ENSMPUP00000004160,100,1.59e-205,576
XP_012919595.1,ZNF114,ENSMPUP00000004160,100,1.59e-205,576
XP_012919597.1,ZNF114,ENSMPUP00000004160,100,1.59e-205,576
XP_012919598.1,TULP2,ENSMPUP00000003430,92.9,0.0,972
XP_012919601.1,LOC101681477,ENSMPUP00000004168,100,0.0,1091
XP_012919602.1,LOC101681477,ENSMPUP00000004168,100,0.0,1091
XP_012919604.2,TNFAIP3,ENSMPUP00000014758,100,0.0,1538
XP_012919611.1,KASH5,ENSMPUP00000002643,93.0,0.0,936
XP_012919612.1,KASH5,ENSMPUP00000002643,92.8,0.0,934
XP_012919613.1,KASH5,ENSMPUP00000002643,92.0,0.0,924
XP_012919614.1,KASH5,ENSMPUP00000002643,93.2,0.0,944
XP_012919627.1,C1GALT1,ENSMPUP00000001482,100,2.35e-276,754
XP_012919630.1,SLC25A13,ENSMPUP00000001520,99.8,0.0,1114
XP_012919632.2,ICA1,ENSMPUP00000001397,100,0.0,1002
XP_012919633.2,ICA1,ENSMPUP00000001397,99.8,0.0,996
XP_012919634.2,ICA1,ENSMPUP00000001397,94.1,0.0,927
XP_012919635.1,ICA1,ENSMPUP00000001397,100,0.0,1002
XP_012919636.1,ICA1,ENSMPUP00000001397,100,0.0,1002
XP_012919637.1,ICA1,ENSMPUP00000001397,100,0.0,1002
XP_012919639.1,ICA1,ENSMPUP00000001397,99.8,0.0,996
XP_012919640.1,ICA1,ENSMPUP00000001397,99.8,0.0,996
XP_012919642.1,ICA1,ENSMPUP00000001397,99.8,0.0,996
XP_012919643.1,ICA1,ENSMPUP00000001397,99.8,0.0,996
XP_012919644.2,ICA1,ENSMPUP00000001397,93.9,0.0,922
XP_012919645.2,DYNC1I1,ENSMPUP00000001532,99.7,0.0,1207
XP_012919646.1,NHSL1,ENSMPUP00000014775,100,0.0,2661
XP_012919647.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919648.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919649.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919650.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919651.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919653.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919654.1,MIOS,ENSMPUP00000001426,99.3,0.0,1795
XP_012919656.1,CCDC28A,ENSMPUP00000014778,100,2.52e-118,343
XP_012919660.1,ECT2L,ENSMPUP00000014791,87.6,0.0,1619
XP_012919663.1,SMG7,ENSMPUP00000011638,97.2,0.0,2092
XP_012919664.1,SMG7,ENSMPUP00000011638,93.0,0.0,1991
XP_012919667.1,LAMC2,ENSMPUP00000011490,99.3,0.0,2234
XP_012919669.1,TPR,ENSMPUP00000011959,100,0.0,3466
XP_012919671.1,CEP350,ENSMPUP00000011279,98.7,0.0,5594
XP_012919672.1,TOR1AIP1,ENSMPUP00000011268,100,0.0,1163
XP_012919673.1,TOR1AIP1,ENSMPUP00000011268,98.2,0.0,1131
XP_012919674.1,TOR1AIP1,ENSMPUP00000011268,97.4,0.0,1122
XP_012919675.1,LOC101671379,ENSMPUP00000011265,100,4.79e-307,840
XP_012919677.1,RGL1,ENSMPUP00000011671,100,0.0,1290
XP_012919681.1,HMCN1,ENSMPUP00000011849,100.0,0.0,9586
XP_012919682.1,DHX9,ENSMPUP00000011453,99.9,0.0,1874
XP_012919683.2,ABRACL,ENSMPUP00000014795,100,1.50e-50,160
XP_012919684.1,GLUL,ENSMPUP00000011419,97.8,1.20e-315,857
XP_012919692.2,KIAA1614,ENSMPUP00000011382,100,0.0,2330
XP_012919710.1,AZIN2,ENSMPUP00000014982,100,0.0,927
XP_012919713.1,AZIN2,ENSMPUP00000014982,100,0.0,927
XP_012919714.1,AZIN2,ENSMPUP00000014982,100,0.0,927
XP_012919728.1,ATG16L2,ENSMPUP00000009703,82.6,0.0,923
XP_012919737.1,RNF121,ENSMPUP00000010281,100,9.37e-227,624
XP_012919738.1,RNF121,ENSMPUP00000010281,100,9.37e-227,624
XP_012919739.1,RNF121,ENSMPUP00000010281,98.6,1.90e-144,413
XP_012919741.1,ANAPC15,ENSMPUP00000010185,100,2.91e-55,175
XP_012919743.2,LOC101693714,ENSMPUP00000010263,99.5,4.22e-136,385
XP_012919744.2,LOC101693714,ENSMPUP00000010263,99.5,4.22e-136,385
XP_012919747.1,LOC101671174,ENSMPUP00000019447,100,4.55e-220,608
XP_012919749.1,UVRAG,ENSMPUP00000008738,100,0.0,1301
XP_012919750.1,UVRAG,ENSMPUP00000008738,100,0.0,1177
XP_012919751.1,C2CD3,ENSMPUP00000009347,98.2,0.0,4506
XP_012919752.1,C2CD3,ENSMPUP00000009347,98.2,0.0,4511
XP_012919753.1,C2CD3,ENSMPUP00000009347,98.3,0.0,4537
XP_012919754.1,C2CD3,ENSMPUP00000009347,97.6,0.0,4464
XP_012919755.1,C2CD3,ENSMPUP00000009347,98.0,0.0,3892
XP_012919756.1,C2CD3,ENSMPUP00000009347,98.0,0.0,3892
XP_012919757.1,PPME1,ENSMPUP00000009273,99.4,2.12e-246,679
XP_012919758.1,PPME1,ENSMPUP00000009273,100,2.27e-231,640
XP_012919770.1,PLEKHB1,ENSMPUP00000009654,87.2,8.59e-170,475
XP_012919771.1,PLEKHB1,ENSMPUP00000009654,100,8.04e-169,472
XP_012919773.1,CHRDL2,ENSMPUP00000009217,100,0.0,915
XP_012919775.1,CHRDL2,ENSMPUP00000009217,100,1.73e-293,801
XP_012919776.1,ARRB1,ENSMPUP00000009136,98.5,2.38e-292,802
XP_012919778.1,ARRB1,ENSMPUP00000009136,98.1,1.66e-292,802
XP_012919779.1,ARRB1,ENSMPUP00000009136,98.1,1.66e-292,802
XP_012919780.1,ARRB1,ENSMPUP00000009136,98.1,1.66e-292,802
XP_012919784.1,KCNE3,ENSMPUP00000019405,100,2.52e-66,201
XP_012919785.1,KCNE3,ENSMPUP00000019405,100,2.52e-66,201
XP_012919788.2,GDPD5,ENSMPUP00000008993,99.8,0.0,1218
XP_012919789.2,GDPD5,ENSMPUP00000008993,99.8,0.0,1218
XP_012919790.2,GDPD5,ENSMPUP00000008993,99.8,0.0,1218
XP_012919791.1,RAB6A,ENSMPUP00000009648,100,2.32e-144,407
XP_012919792.1,RAB6A,ENSMPUP00000009648,100,1.23e-119,343
XP_012919793.2,XRRA1,ENSMPUP00000009190,100,0.0,1230
XP_012919794.2,XRRA1,ENSMPUP00000009190,100,0.0,1230
XP_012919795.2,XRRA1,ENSMPUP00000009190,93.8,0.0,1134
XP_012919796.2,XRRA1,ENSMPUP00000009190,93.4,0.0,1128
XP_012919797.1,XRRA1,ENSMPUP00000009190,100,0.0,1615
XP_012919798.1,XRRA1,ENSMPUP00000009190,100,0.0,1615
XP_012919800.2,XRRA1,ENSMPUP00000009190,82.3,0.0,966
XP_012919802.1,XRRA1,ENSMPUP00000009190,72.5,0.0,1026
XP_012919804.1,XRRA1,ENSMPUP00000009190,100,0.0,1230
XP_012919805.1,XRRA1,ENSMPUP00000009190,100,0.0,1230
XP_012919806.1,CLPB,ENSMPUP00000010096,99.6,0.0,919
XP_012919808.1,EMSY,ENSMPUP00000008695,94.8,0.0,2019
XP_012919809.1,EMSY,ENSMPUP00000008695,97.8,0.0,2076
XP_012919810.1,EMSY,ENSMPUP00000008695,84.8,0.0,1730
XP_012919811.2,INPPL1,ENSMPUP00000010124,99.9,0.0,1701
XP_012919812.1,LOC101687385,ENSMPUP00000010153,100,3.59e-198,547
XP_012919813.1,LOC101687385,ENSMPUP00000010153,100,3.59e-198,547
XP_012919814.1,LOC101687385,ENSMPUP00000010153,100,3.59e-198,547
XP_012919815.1,LOC101687385,ENSMPUP00000010153,100,3.59e-198,547
XP_012919816.2,LOC101688243,ENSMPUP00000010148,98.8,2.34e-198,547
XP_012919824.1,SLCO2B1,ENSMPUP00000009158,100,0.0,1051
XP_012919825.1,LRRC32,ENSMPUP00000008691,100,0.0,1147
XP_012919826.1,LRRC32,ENSMPUP00000008691,100,0.0,1147
XP_012919838.1,ART1,ENSMPUP00000010309,100,1.07e-239,657
XP_012919840.1,ART5,ENSMPUP00000010303,99.6,6.24e-201,560
XP_012919841.1,ART5,ENSMPUP00000010303,100,4.91e-200,557
XP_012919846.1,LOC101679526,ENSMPUP00000019434,100,7.41e-225,620
XP_012919847.1,LOC101679526,ENSMPUP00000019434,100,7.41e-225,620
XP_012919853.2,ARSH,ENSMPUP00000001102,98.8,0.0,1175
XP_012919869.1,PLCXD1,ENSMPUP00000001528,100,8.36e-17,90.1
XP_012919870.1,PLCXD1,ENSMPUP00000001528,100,8.36e-17,90.1
XP_012919871.1,PLCXD1,ENSMPUP00000001528,100,8.36e-17,90.1
XP_012919872.1,PLCXD1,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919873.1,PLCXD1,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919874.1,PLCXD1,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919875.1,PLCXD1,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919877.1,PLCXD1,ENSMPUP00000001528,100,6.62e-17,90.1
XP_012919879.1,PLCXD1,ENSMPUP00000001528,100,4.10e-17,90.9
XP_012919883.1,PLCXD1,ENSMPUP00000001528,100,1.18e-245,674
XP_012919889.1,DHRSX,ENSMPUP00000001178,99.2,1.59e-193,540
XP_012919892.2,ASMTL,ENSMPUP00000001199,99.6,0.0,957
XP_012919894.1,LOC101683998,ENSMPUP00000001222,100,3.53e-266,738
XP_012919895.1,LOC101683998,ENSMPUP00000001222,98.9,9.12e-261,724
XP_012919896.1,LOC101683998,ENSMPUP00000001222,100,6.96e-284,781
XP_012919897.1,LOC101683998,ENSMPUP00000001222,100,6.96e-284,781
XP_012919898.1,LOC101683998,ENSMPUP00000001222,100,5.14e-289,790
XP_012919901.1,IL3RA,ENSMPUP00000001213,96.7,4.73e-264,727
XP_012919902.1,IL3RA,ENSMPUP00000001213,96.7,4.73e-264,727
XP_012919903.1,IL3RA,ENSMPUP00000001213,98.8,4.55e-243,670
XP_012919904.2,GYG2,ENSMPUP00000001157,91.9,5.42e-295,806
XP_012919905.1,GYG2,ENSMPUP00000001157,84.1,1.87e-265,730
XP_012919907.1,NLGN4X,ENSMPUP00000001083,100,0.0,1660
XP_012919920.2,LOC101686332,ENSMPUP00000019681,99.1,5.87e-74,229
XP_012919922.1,LPCAT1,ENSMPUP00000007607,99.8,0.0,983
XP_012919924.1,LPCAT1,ENSMPUP00000007607,100,0.0,1021
XP_012919927.1,LPCAT1,ENSMPUP00000007607,100,0.0,976
XP_012919947.2,PLEKHG4B,ENSMPUP00000010272,70.5,0.0,2031
XP_012919948.2,PLEKHG4B,ENSMPUP00000010272,67.3,0.0,1734
XP_012919958.2,TERT,ENSMPUP00000008847,99.9,0.0,1611
XP_012919970.1,ELF2,ENSMPUP00000016028,96.1,0.0,916
XP_012919971.2,NAA15,ENSMPUP00000016019,100,0.0,1667
XP_012919973.1,IL15,ENSMPUP00000015989,100,8.27e-111,318
XP_012919975.1,IL15,ENSMPUP00000015989,100,8.27e-111,318
XP_012919976.1,ZNF330,ENSMPUP00000015991,100,2.60e-231,636
XP_012919991.2,RBM12B,ENSMPUP00000018518,99.2,0.0,1269
XP_012919992.2,RBM12B,ENSMPUP00000018518,99.2,0.0,1269
XP_012919994.2,RBM12B,ENSMPUP00000018518,99.2,0.0,1269
XP_012919995.2,RBM12B,ENSMPUP00000018518,99.2,0.0,1269
XP_012919996.1,CIBAR1,ENSMPUP00000009036,87.5,8.13e-157,444
XP_012919997.1,CIBAR1,ENSMPUP00000009036,86.5,1.68e-153,435
XP_012920000.1,INTS8,ENSMPUP00000008746,100,0.0,1847
XP_012920001.1,INTS8,ENSMPUP00000008746,100,0.0,1800
XP_012920004.1,MTERF3,ENSMPUP00000008688,100,9.62e-260,716
XP_012920007.1,OTUD6B,ENSMPUP00000009117,91.7,4.04e-198,551
XP_012920008.1,OTUD6B,ENSMPUP00000009117,99.5,1.31e-129,374
XP_012920014.1,TRIQK,ENSMPUP00000009049,100,8.51e-50,158
XP_012920019.1,TSPYL5,ENSMPUP00000018513,100,1.18e-275,756
XP_012920020.1,TSPYL5,ENSMPUP00000018513,100,1.18e-275,756
XP_012920023.1,CFAP418,ENSMPUP00000008718,91.2,1.57e-149,421
XP_012920041.1,RERE,ENSMPUP00000006347,99.8,0.0,2394
XP_012920042.1,RERE,ENSMPUP00000006347,97.1,0.0,2284
XP_012920043.1,SLC45A1,ENSMPUP00000006501,100,0.0,1352
XP_012920047.1,PIK3CD,ENSMPUP00000006192,100,0.0,2091
XP_012920048.1,PIK3CD,ENSMPUP00000006192,100,0.0,2091
XP_012920065.1,CALML6,ENSMPUP00000007945,100,2.92e-108,311
XP_012920073.2,PRDM16,ENSMPUP00000007423,99.8,0.0,1664
XP_012920074.2,PRDM16,ENSMPUP00000007423,99.7,0.0,1658
XP_012920078.2,PRDM16,ENSMPUP00000007423,100,0.0,1669
XP_012920081.1,RNF207,ENSMPUP00000006972,83.4,0.0,1064
XP_012920082.1,RNF207,ENSMPUP00000006972,81.6,0.0,932
XP_012920083.1,RNF207,ENSMPUP00000006972,81.6,0.0,932
XP_012920084.1,RNF207,ENSMPUP00000006972,76.4,0.0,895
XP_012920085.1,RNF207,ENSMPUP00000006972,82.5,0.0,983
XP_012920086.2,SRM,ENSMPUP00000016331,98.7,4.98e-220,606
XP_012920088.1,RNF207,ENSMPUP00000006972,99.6,4.55e-316,875
XP_012920103.2,MEGF6,ENSMPUP00000007389,100,1.35e-213,678
XP_012920105.2,MEGF6,ENSMPUP00000007389,89.7,1.58e-197,634
XP_012920106.2,MEGF6,ENSMPUP00000007389,100,4.84e-214,678
XP_012920107.2,MEGF6,ENSMPUP00000007389,100,4.84e-214,678
XP_012920108.2,MEGF6,ENSMPUP00000007389,100,4.84e-214,678
XP_012920110.2,MEGF6,ENSMPUP00000007389,100,4.88e-99,359
XP_012920111.2,MEGF6,ENSMPUP00000007389,92.8,3.02e-199,638
XP_012920112.2,MEGF6,ENSMPUP00000007389,100,1.70e-214,678
XP_012920113.2,MEGF6,ENSMPUP00000007389,100,1.70e-214,678
XP_012920115.2,MEGF6,ENSMPUP00000007389,100,5.65e-215,678
XP_012920116.2,MEGF6,ENSMPUP00000007389,100,4.73e-115,405
XP_012920126.1,LOC101678627,ENSMPUP00000006233,100,1.93e-207,572
XP_012920127.1,LOC101678627,ENSMPUP00000006233,100,1.93e-207,572
XP_012920132.1,PLEKHG5,ENSMPUP00000006734,100,0.0,1726
XP_012920133.1,PLEKHG5,ENSMPUP00000006734,100,0.0,1856
XP_012920135.1,PLEKHG5,ENSMPUP00000006734,100,0.0,1856
XP_012920152.1,TNFRSF14,ENSMPUP00000007550,90.0,5.09e-164,461
XP_012920155.1,ACOT7,ENSMPUP00000018633,98.4,5.36e-224,620
XP_012920166.1,LOC101679722,ENSMPUP00000006302,100,0.0,935
XP_012920168.1,LOC101679722,ENSMPUP00000006302,100,0.0,874
XP_012920170.1,LOC101675165,ENSMPUP00000010323,100,0.0,1017
XP_012920172.1,TOX,ENSMPUP00000010239,100,0.0,907
XP_012920178.1,LYPLA1,ENSMPUP00000010481,100,3.73e-121,349
XP_012920179.1,UBXN2B,ENSMPUP00000010330,86.1,2.14e-191,534
XP_012920186.2,PLAG1,ENSMPUP00000010370,97.8,1.94e-216,610
XP_012920187.1,CHCHD7,ENSMPUP00000010366,100,2.73e-59,182
XP_012920189.1,RGS20,ENSMPUP00000010565,100,1.87e-160,451
XP_012920190.1,RGS20,ENSMPUP00000010565,100,9.70e-143,405
XP_012920201.1,VPS13B,ENSMPUP00000015126,99.3,0.0,7867
XP_012920207.1,NCALD,ENSMPUP00000015043,100,5.36e-138,390
XP_012920208.1,GRHL2,ENSMPUP00000015044,99.8,0.0,1221
XP_012920209.1,GRHL2,ENSMPUP00000015044,100,0.0,1226
XP_012920210.1,GRHL2,ENSMPUP00000015044,99.8,0.0,1190
XP_012920214.1,LOC101681118,ENSMPUP00000019623,100,5.54e-105,303
XP_012920216.1,ATP6V1C1,ENSMPUP00000015012,100,1.44e-274,751
XP_012920217.1,NIPAL2,ENSMPUP00000015139,96.9,6.19e-232,642
XP_012920234.1,RIMS2,ENSMPUP00000014984,92.8,0.0,2613
XP_012920246.1,OSR2,ENSMPUP00000015137,100,6.91e-143,410
XP_012920252.1,OSBPL6,ENSMPUP00000003154,90.4,0.0,1691
XP_012920259.1,CERKL,ENSMPUP00000002281,99.8,0.0,1075
XP_012920260.1,CERKL,ENSMPUP00000002281,85.0,0.0,878
XP_012920261.1,ITPRID2,ENSMPUP00000002272,99.7,0.0,2355
XP_012920262.1,ITPRID2,ENSMPUP00000002272,98.3,0.0,2309
XP_012920263.1,DNAJC10,ENSMPUP00000002201,100,0.0,1663
XP_012920270.1,PLEKHA3,ENSMPUP00000003120,100,2.53e-162,457
XP_012920271.1,FKBP7,ENSMPUP00000003123,97.1,1.66e-119,344
XP_012920276.1,BEND5,ENSMPUP00000012257,100,9.35e-233,645
XP_012920282.1,BEND5,ENSMPUP00000012257,100,2.26e-172,488
XP_012920283.1,COL4A5,ENSMPUP00000003900,100,6.19e-155,525
XP_012920286.1,ACSL4,ENSMPUP00000003946,100,0.0,1368
XP_012920291.1,MORC4,ENSMPUP00000003708,100,0.0,1637
XP_012920292.2,AMOT,ENSMPUP00000004161,99.0,0.0,1614
XP_012920293.1,ATG4A,ENSMPUP00000003879,100,9.43e-303,823
XP_012920297.1,ATG4A,ENSMPUP00000003879,100,2.14e-240,662
XP_012920298.1,ATG4A,ENSMPUP00000003879,100,2.14e-240,662
XP_012920299.1,RBM41,ENSMPUP00000003721,95.3,0.0,917
XP_012920300.1,RBM41,ENSMPUP00000003721,94.5,5.26e-281,774
XP_012920305.1,NXT2,ENSMPUP00000003941,100,4.97e-78,235
XP_012920306.1,CAPN6,ENSMPUP00000004000,100,0.0,1167
XP_012920308.1,RADX,ENSMPUP00000003659,99.5,0.0,1703
XP_012920309.1,RADX,ENSMPUP00000003659,99.9,0.0,1704
XP_012920310.1,RADX,ENSMPUP00000003659,100,0.0,1709
XP_012920317.2,FRMPD3,ENSMPUP00000003752,99.3,0.0,2880
XP_012920321.1,DPPA2,ENSMPUP00000010111,98.7,2.86e-207,575
XP_012920322.1,ALCAM,ENSMPUP00000009802,94.7,0.0,1090
XP_012920324.2,BBX,ENSMPUP00000009832,99.7,0.0,1647
XP_012920326.2,BBX,ENSMPUP00000009832,95.6,0.0,1598
XP_012920327.2,BBX,ENSMPUP00000009832,96.8,0.0,1583
XP_012920329.2,BBX,ENSMPUP00000009832,94.7,0.0,1528
XP_012920330.1,CBLB,ENSMPUP00000009813,95.5,0.0,1845
XP_012920337.1,IFT57,ENSMPUP00000009896,78.1,3.06e-198,558
XP_012920339.1,HHLA2,ENSMPUP00000009904,100,4.96e-290,791
XP_012920345.1,HHLA2,ENSMPUP00000009904,100,4.96e-290,791
XP_012920353.1,GABRB2,ENSMPUP00000013124,100,0.0,1026
XP_012920354.1,PHEX,ENSMPUP00000000118,100,0.0,1452
XP_012920355.1,PCYT1B,ENSMPUP00000000096,99.7,1.66e-195,549
XP_012920357.1,MBTPS2,ENSMPUP00000000129,100,0.0,944
XP_012920360.1,CUNHXorf58,ENSMPUP00000000104,98.4,2.77e-260,715
XP_012920361.1,CUNHXorf58,ENSMPUP00000000104,98.4,2.77e-260,715
XP_044918614.1,CFAP69,ENSMPUP00000018201,94.7,0.0,1659
XP_044918615.1,CFAP69,ENSMPUP00000018201,95.0,0.0,1734
XP_044918616.1,CFAP69,ENSMPUP00000018201,92.7,0.0,1607
XP_044918617.1,CFAP69,ENSMPUP00000018201,93.1,0.0,1682
XP_044918621.1,FAM237B,ENSMPUP00000018202,100,2.70e-97,283
XP_044918623.1,GTPBP10,ENSMPUP00000018203,100,5.45e-231,635
XP_044918627.1,CDK14,ENSMPUP00000018204,100,2.87e-279,764
